Symbol	Description
APX	Appen Limited
APZ	Aspen Group
AQC	Australian Pacific Coal Limited
AQD	AusQuest Ltd
AQI	Alicanto Minerals Limited
AQLT	AQLT
AQN	Aquirian Limited
AQX	Alice Queen Limited
AQXOA	AQXOA
AQXOC	AQXOC
AQZ	Alliance Aviation Services Limited
AR1	Arrowhead Resources Limited
AR3	Australian Rare Earths Limited
AR9	Archtis Limited
ARA	Ariadne Australia Ltd
ARB	Arb Corporation Limited.
ARBKOA	Arb Corporation Limited.
ARBKOB	Arb Corporation Limited.
ARBKOE	ARBKOE
ARBKOR	ARBKOR
ARC	Amalg Resources Nl
ARD	Argent Minerials Lts
ARDO	Argent Minerials Lts
ARF	Arena Reit
ARG	Argo Investments Ltd
ARL	Austrim
ARN	Arnotts Ltd t/over Campbell Soup Co
ARR	Arasor International Ltd
ART	Amp Shopping Centre ord unit
ARU	Arafura Resources NL
ARUOA	ARUOA
ARV	Artemis Resources Ltd
ARVOC	ARVOC
ARX	Austindo Resources Corporation NL
AS1	Angel Seafood Holdings Ltd
AS2	Askari Metals Limited
AS2O	AS2O
ASAO	ASAO
ASB	Austal Ltd
ASE	Astute Metals Nl
ASG	Autosports Group Limited.
ASH	Ashley Services Group Limited
ASIA	Betashares Asia Technology Tigers
ASK	Amskan
ASL	Ausdrill Ltd
ASM	Australian Strategic Materials Limited
ASMO	ASMO
ASN	Anson Resources Limited
ASO	Australian Silicon Ltd
ASP	Aspermont Ltd
ASQ	Asset Loans Ltd
ASR	Australian Rural Group Ltd
ASRO	ASRO
ASV	Argus Solutions Ltd
ASX	Australian Stock Exchange Ltd
ASXKOB	Asx Limited
ASXKOC	Asx Limited
ASXKOD	Asx Limited
ASXKOP	Asx Limited
ASXKOQ	Asx Limited
ASXKOR	Asx Limited
AT1	Atomo Diagnostics Limited
ATA	Atc Alloys Ltd
ATC	Advantage Telecommunications Ltd
ATEC	ATEC
ATG	Austin Group Ltd
ATH	Atech Holdings Ltd
ATHO	ATHO
ATM	Aneka Tambang (Persero) Tbk (Indo)
ATOM	ATOM
ATP	Atlas Pacific Ltd
ATR	Astron Ltd
ATS	Australis Oil & Gas Limited
ATU	Atrum Coal Nl
ATV	Atlantic Gold NL
ATX	Austminex Ltd
AU1	Ausnet Financial Services Limited
AUA	Australian Assets Corporation
AUB	Austbrokers Holdings Ltd
AUC	Ausgold Limited
AUE	Aurum Resources Limited
AUEO	AUEO
AUG	Aurora Gold
AUH	Australian Healthcare Technology Ltd
AUI	Australian United Investment Ltd
AUK	Augur Resources Ltd
AUKOA	Aumake Limited.
AUMF	Ishares Edge Msci Australia Multifactor Etf
AUN	Austar United Communications Ltd
AUNO	Aurumin Limited
AUNOC	AUNOC
AUQ	Alara Uranium Ltd
AUR	Auris Minerals Limited
AUST	Betashares Managed Risk Australian Share Fund (man
AUZ	Australian Mines Ltd
AUZOA	AUZOA
AUZOB	AUZOB
AV1	Adveritas Limited
AVA	Aviva Corporation Ltd
AVC	Australian Visual Communications
AVD	Advance Energy Ltd
AVE	Aevum Ltd
AVEOA	AVEOA
AVG	Australian Vintage Ltd t/over by SWS
AVH	Avita Medical Ltd
AVJ	AV Jennings Homes Ltd
AVL	Anvil Mining Nl
