Symbol	Description
DSLE	DJ US LEISGOODS
DSLG	DJ US HOTELS
DSLW	DJ US LOWCAP
DSMC	DJ US HCREQPSRV
DSME	DJ US MEDIA
DSMF	DJ US MORTGFIN
DSMG	DJ US MINING
DSMR	U.S. Mortgage REITs Index
DSMS	DJ US MDSUPPLIES
DSMT	DJ US MARTRANSPT
DSMU	DJ US MULUTILTES
DSNC	DJ US CONSUMGDS
DSNF	DJ US NONFERMET
DSNG	DJ US PERHLDGDS
DSNS	DJ US INTERNET
DSOG	DJ US OILGAS
DSOI	DJ US OILEQPSRV
DSOL	DJ US INTGOILGAS
DSOQ	DJ US OILEQPSRV
DSOS	DJ US EXPLPROD
DSPB	DJ US PUBLISHING
DSPC	DJ US WSTDSPSRV
DSPG	DJ US PERSGOODS
DSPL	DJ US PIPELINES
DSPM	DJ US GOLDMNG
DSPN	DJ US PHARMBIO
DSPR	DJ US PHARMCTCLS
DSRA	DJ US APPRLRET
DSRB	DJ US BRDLNRET
DSRD	DJ US DRUGRET
DSRE	U.S. Real Estate Index
DSRH	DJ US RESTHLDG
DSRI	DJ US RESTINVTR
DSRL	U.S. Retail REITs Index
DSRN	U.S. Residential REITs Index
DSRP	DJ US RECPRODUCT
DSRQ	DJ US RECSERVICE
DSRR	DJ US RAILROADS
DSRS	DJ US SPLTYRET
DSRT	DJ US RETAIL
DSRU	DJ US RESTRBARS
DSSB	DJ US INVSRV
DSSC	DJ US SEMCNDCTRS
DSSD	DJ US SOFTDRINKS
DSSF	DJ US CONSUMFIN
DSSP	DJ US SPECIALFIN
DSSR	U.S. Specialty REITs Index
DSST	DJ US STEEL
DSSV	DJ US SFTCPTRSRV
DSSW	DJ US SOFTWARE
DSTB	DJ US TOBACCO
DSTC	DJ US TECHNOLOGY
DSTK	DJ US TRUCKING
DSTL	DJ US TELECOM
DSTP	DJ US TOPCAP
DSTQ	DJ US TECHHRDEQ
DSTT	DJ US TRVLTOUR
DSTY	DJ US TOYS
DSUO	DJ US GASWTRMUT
DSUT	DJ US UTILITIES
DSVE	U.S. Conventional Electricity Index
DSVN	DJ US DISVINTNER
DSWC	DJ US MOBTELECOM
DSWU	DJ US WATER
DTCI	DJ COMPREIT TR
DTEI	DJ EQUITYREIT TR
DTFD	Dow Tran Stocks Above 5-Day Average
DTFI	Dow Tran Stocks Above 50-Day Average
